PARAM,LATIN_NAME,TISSUE_NAME,Basis,PARAM_level,PARAM_trend,STATION_CODE,Long,Lat,Station_name,Value,UNIT,Ratio_EQS,Color_EQS,Ratio_proref,Color_proref,Ratio_food,Color_food,EQS,PROREF,Food_limit,Trend_string,trendshape,MYEAR,DRYWT,FAT_PERC,N_median,Det_limit,Over_LOQ,Value_min,Value_p25,Value_p75,Value_max,PROREF_stations,series,firstyear_all,lastyear_all,Trend_type,last_year,first_year,p,y_mean,y_q2.5,y_q97.5,perc_detected
CD,Mytilus edulis,Whole soft body,WW,CD,CD,10A2,30.341745,70.137283,"Skallnes, Outer Varangerfjord",0.24,MG_P_KG,NA,NA,1.3333333333333333,2,0.0024,1,NA,0.18,100,No change,NA,2023,18,0.815,3,NA,3,0.19,0.215,0.245,0.25,"I241,26A2,I969",4869 CD Mytilus edulis SB NA,1996,2023,short,2023,2014,NA,0.0286832305339777,-0.08533629078812872,0.1427027518560841,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,11X,29.741,69.8993,"Brashavn, Outer Varangerfjord",0.28,MG_P_KG,NA,NA,1.5555555555555558,2,0.0028000000000000004,1,NA,0.18,100,No change,NA,2023,16,0.388,3,NA,3,0.27,0.275,0.29500000000000004,0.31,"I241,26A2,I969",4878 CD Mytilus edulis SB NA,1997,2023,short,2023,2014,NA,0.03909086093403502,-0.0437839432706143,0.12196566513868434,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,15A,6.9159,58.04605,"Gåsøya-Ullerøya, Farsund",0.1,MG_P_KG,NA,NA,0.5555555555555556,1,0.001,1,NA,0.18,100,No change,NA,2023,9,0.485,3,NA,3,0.096,0.098,0.10500000000000001,0.11,"I241,26A2,I969",4882 CD Mytilus edulis SB NA,1990,2023,short,2023,2014,NA,-0.2228793440253316,-0.7646181793831955,0.31885949133253233,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,22A,5.15203,59.58711,"Espevær, Outer Bømlafjord",0.11,MG_P_KG,NA,NA,0.6111111111111112,1,0.0011,1,NA,0.18,100,No change,NA,2023,16,0.345,3,NA,3,0.1,0.10500000000000001,0.11499999999999999,0.12,"I241,26A2,I969",4682 CD Mytilus edulis SB NA,1990,2023,short,2023,2014,NA,-0.050754498315183305,-0.4194486463465669,0.3179396497162003,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,26A2,5.04878333333333,61.9362166666667,"Vågsvåg, Outer Nordfjord",0.12,MG_P_KG,NA,NA,0.6666666666666666,1,0.0012,1,NA,0.18,100,No change,NA,2023,20,1.5,3,NA,3,0.12,0.12,0.125,0.13,"I241,26A2,I969",4848 CD Mytilus edulis SB NA,2012,2023,short,2023,2014,NA,0.0283856188808409,-0.2700632558635382,0.32683449362522,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,28A2,6.239601,62.465851,Ålesund harbour,0.089,MG_P_KG,NA,NA,0.49444444444444446,1,8.9e-4,1,NA,0.18,100,Decreasing,linear,2023,14,0.407,3,NA,3,0.088,0.0885,0.0995,0.11,"I241,26A2,I969",12207 CD Mytilus edulis SB NA,2017,2023,short,2023,2017,0.0279,-0.5723399338965578,-1.0059652798793095,-0.13871458791380603,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,30A,10.711,59.88362,"Gressholmen, Inner Oslofjord",0.19,MG_P_KG,NA,NA,1.0555555555555556,2,0.0019,1,NA,0.18,100,No change,NA,2023,15,1.35,3,NA,3,0.17,0.18,0.2,0.21,"I241,26A2,I969",4954 CD Mytilus edulis SB NA,1984,2023,short,2023,2014,NA,0.11836604471096646,-0.17573725917747296,0.41246934859940587,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,31A,10.6515,59.6155,"Solbergstrand, Mid Oslofjord",0.11,MG_P_KG,NA,NA,0.6111111111111112,1,0.0011,1,NA,0.18,100,No change,NA,2023,15,1.25,3,NA,3,0.11,0.11,0.12,0.13,"I241,26A2,I969",4963 CD Mytilus edulis SB NA,1981,2023,short,2023,2014,NA,0.02653483583496552,-0.3190290223705215,0.37209869404045254,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,36A,10.525,59.0274,"Færder, Outer Oslofjord",0.12,MG_P_KG,NA,NA,0.6666666666666666,1,0.0012,1,NA,0.18,100,No change,NA,2023,11,0.933,3,NA,3,0.12,0.12,0.13,0.14,"I241,26A2,I969",4850 CD Mytilus edulis SB NA,1981,2023,short,2023,2014,NA,0.34641695847557497,-0.20589375611172156,0.8987276730628715,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,56A,6.602,60.2205,"Kvalnes, Mid Sørfjord",0.41000000000000003,MG_P_KG,NA,NA,2.277777777777778,2,0.0041,1,NA,0.18,100,Too few years,NA,2023,13,1.15,3,NA,3,0.39,0.4,0.42500000000000004,0.44,"I241,26A2,I969",4688 CD Mytilus edulis SB NA,1987,2023,short,NA,NA,NA,NA,NA,NA,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,57A,6.689524,60.387073,"Krossanes, Outer Sørfjord",0.24,MG_P_KG,NA,NA,1.3333333333333333,2,0.0024,1,NA,0.18,100,NA,NA,2020,16,1.8,3,NA,3,0.24,0.24,0.265,0.29,"I241,26A2,I969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CD,Mytilus edulis,Whole soft body,WW,CD,CD,64A,6.6223,60.4239,"Utne, Outer Sørfjord",0.18,MG_P_KG,NA,NA,1,1,0.0018,1,NA,0.18,100,No change,NA,2023,13,1.16,3,NA,3,0.17,0.175,0.185,0.19,"I241,26A2,I969",4851 CD Mytilus edulis SB NA,2012,2023,short,2023,2014,NA,-0.061584383833166,-0.24401945723532895,0.12085068956899694,1
