PARAM,LATIN_NAME,TISSUE_NAME,Basis,PARAM_level,PARAM_trend,STATION_CODE,Long,Lat,Station_name,Value,UNIT,Ratio_EQS,Color_EQS,Ratio_proref,Color_proref,Ratio_food,Color_food,EQS,PROREF,Food_limit,Trend_string,trendshape,MYEAR,DRYWT,FAT_PERC,N_median,Det_limit,Over_LOQ,Value_min,Value_p25,Value_p75,Value_max,PROREF_stations,series,firstyear_all,lastyear_all,Trend_type,last_year,first_year,p,y_mean,y_q2.5,y_q97.5,perc_detected
CD,Gadus morhua,Lever,WW,CD,CD,02B,10.97354,59.06482,"Kirkøy, Hvaler",0.026,MG_P_KG,NA,NA,0.19047619047619047,1,NA,NA,NA,0.1365,NA,No change,NA,2023,NA,21.35,4,NA,4,0.01,0.01375,0.03775,0.04,"80B,67B,15B,23B",4847 CD Gadus morhua LI NA,2012,2023,short,2023,2014,NA,-0.38366874767633163,-0.9202911240043802,0.1529536286517169,1
CD,Gadus morhua,Lever,WW,CD,CD,10B,29.7602,69.81623,"Kjøfjord, Outer Varangerfjord",0.25,MG_P_KG,NA,NA,1.8315018315018314,2,NA,NA,NA,0.1365,NA,Increasing,nonlinear,2023,NA,32.9,15,NA,15,0.056,0.14,0.305,0.61,"80B,67B,15B,23B",4871 CD Gadus morhua LI NA,1994,2023,short,2023,2014,3.085394699569033e-4,0.5923317899896849,0.30748432859439473,0.8771792513849752,1
CD,Gadus morhua,Lever,WW,CD,CD,13B,7.9885,58.1328333333333,Kristiansand harbour area,0.031,MG_P_KG,NA,NA,0.22710622710622708,1,NA,NA,NA,0.1365,NA,No change,NA,2023,NA,35.4,5,NA,5,0.017,0.019,0.038,0.059000000000000004,"80B,67B,15B,23B",4844 CD Gadus morhua LI NA,2009,2023,short,2023,2014,NA,-0.02641200528953558,-0.38838713916259565,0.3355631285835245,1
CD,Gadus morhua,Lever,WW,CD,CD,15B,6.746898,58.051384,"Skågskjera, Farsund",0.035,MG_P_KG,NA,NA,0.25641025641025644,1,NA,NA,NA,0.1365,NA,No change,NA,2023,NA,25,15,NA,15,0.011,0.0285,0.049,0.096,"80B,67B,15B,23B",4887 CD Gadus morhua LI NA,1990,2023,short,2023,2014,NA,0.0758415960588823,-0.03375146709981515,0.18543465921757973,1
CD,Gadus morhua,Lever,WW,CD,CD,19B,13.46,78.17,"Isfjorden, Svalbard",0.19,MG_P_KG,NA,NA,1.3919413919413919,2,NA,NA,NA,0.1365,NA,No change,NA,2023,NA,44,13,NA,13,0.037,0.097,0.29,0.52,"80B,67B,15B,23B",12205 CD Gadus morhua LI NA,2017,2023,short,2023,2017,NA,-0.11481387246625196,-0.7079327591465009,0.47830501421399696,1
CD,Gadus morhua,Lever,WW,CD,CD,20B,15.4795,78.2623,"Longyearbyen, Svalbard",0.18,MG_P_KG,NA,NA,1.3186813186813184,2,NA,NA,NA,0.1365,NA,Too few years,NA,2023,NA,43.9,11,NA,11,0.11,0.14,0.195,0.36,"80B,67B,15B,23B",13704 CD Gadus morhua LI NA,2021,2023,short,NA,NA,NA,NA,NA,NA,1
CD,Gadus morhua,Lever,WW,CD,CD,23B,5.108565,59.895618,"Bømlo, Outer Selbjørnfjord",0.011,MG_P_KG,NA,NA,0.08058608058608058,1,NA,NA,NA,0.1365,NA,No change,NA,2023,NA,51,15,NA,15,0.005,0.009000000000000001,0.0205,0.044,"80B,67B,15B,23B",4922 CD Gadus morhua LI NA,1990,2023,short,2023,2014,NA,-0.03724779884184981,-0.22575099905385965,0.15125540137016003,1
CD,Gadus morhua,Lever,WW,CD,CD,24B,5.27069,60.39664,Bergen harbour area,0.027000000000000003,MG_P_KG,NA,NA,0.19780219780219782,1,NA,NA,NA,0.1365,NA,No change,NA,2023,NA,43.25,6,NA,6,0.011,0.0195,0.0375,0.067,"80B,67B,15B,23B",10921 CD Gadus morhua LI NA,2015,2023,short,2023,2015,NA,-0.26104812096553065,-1.1097044943432663,0.587608252412205,1
CD,Gadus morhua,Lever,WW,CD,CD,28B,6.06861666666667,62.4677833333333,Ålesund harbour area,0.016,MG_P_KG,NA,NA,0.11721611721611722,1,NA,NA,NA,0.1365,NA,Decreasing,linear,2023,NA,57.65,14,NA,14,0.004,0.00875,0.03675,0.24,"80B,67B,15B,23B",4849 CD Gadus morhua LI NA,2012,2023,short,2023,2014,0.0236,-1.1473521762353593,-2.0470972755020234,-0.24760707696869544,1
CD,Gadus morhua,Lever,WW,CD,CD,30B,10.551829,59.812653,Inner Oslofjord,0.12,MG_P_KG,NA,NA,0.879120879120879,1,NA,NA,NA,0.1365,NA,Decreasing,nonlinear,2023,NA,40.45,8,NA,8,0.015,0.076,0.14250000000000002,0.26,"80B,67B,15B,23B",4684 CD Gadus morhua LI NA,1984,2023,short,2023,2014,0.004822896597327486,-0.5102770903069356,-0.8505796119052822,-0.169974568708589,1
CD,Gadus morhua,Lever,WW,CD,CD,36B,10.4358333333333,59.0405,"Tjøme, Outer Oslofjord",0.055,MG_P_KG,NA,NA,0.4029304029304029,1,NA,NA,NA,0.1365,NA,Increasing,nonlinear,2023,NA,26.6,15,NA,15,0.023,0.038,0.0795,0.093,"80B,67B,15B,23B",4976 CD Gadus morhua LI NA,1981,2023,short,2023,2014,0.019606845673771467,0.4183179642824548,0.07424293224198392,0.7623929963229257,1
CD,Gadus morhua,Lever,WW,CD,CD,43B2,18.974,69.653,Tromsø harbour area,0.089,MG_P_KG,NA,NA,0.6520146520146519,1,NA,NA,NA,0.1365,NA,No change,NA,2023,NA,42.7,15,NA,15,0.033,0.0615,0.185,0.34,"80B,67B,15B,23B",4845 CD Gadus morhua LI NA,2009,2023,short,2023,2014,NA,-0.26815909002170457,-0.7419298038239738,0.20561162378056463,1
